Exercício;Município;Nº da Licitação;Objeto;Data de Abertura;Data de Cadastro;Situação;Modalidade;Tipo de Obra;Síntese do Objeto;Elemento;Valor Utilizado;Valor Estimado Global;Objeto/Lote;Vencedor;Documento;Valor;Data de Fechamento;Link;Cnaes
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000.0;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE LICITAÇÃO JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$1.650,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503;62.01-5-00 2.03-1-00 
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000.0;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE LICITAÇÃO JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$1.764,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503;62.01-5-00 2.03-1-00 
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000.0;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE ALMOXARIFADO JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$1.800,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503;62.01-5-00 2.03-1-00 
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000.0;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE PORTAL DA TRANSPARÊNCIA EM ATENDIMENTO A LEI DE ACESSO A INFORMAÇÃO, JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$3.255,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503;62.01-5-00 2.03-1-00 
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000.0;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE PATRIMÔNIO JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$3.270,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503;62.01-5-00 2.03-1-00 
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000.0;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE PATRIMÔNIO JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$3.504,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503;62.01-5-00 2.03-1-00 
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000.0;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE CONTABILIDADE JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$9.825,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503;62.01-5-00 2.03-1-00 
2020;PARACURU;001/20-PP;Contratação de empresa para serviços de locação de sistemas informatizados de contabilidade, licitação, patrimônio, almoxarifado e portal da transparência junto a Câmara Municipal de Paracuru.;17/01/2020;07/01/2020;Finalizada;Pregão;Nenhuma;Tecnologia da Informação;33904000.0;R$22.394,00;R$22.394,00;SERVIÇOS DE LINCENÇA DE USO DE SISTEMAS INFORMATIZADO (SOFTWARE) DE CONTABILIDADE JUNTO A CÂMARA MUNICIPAL DE PARACURU.;ASP - AUTOMAÇÃO, SERVIÇOS E PRODUTOS DE INFORMÁTICA LTDA;02.288.268/0001-04;R$10.512,00;22/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152232/licit/115503;62.01-5-00 2.03-1-00 
2020;JAGUARIBE;01.06.001/2020;Contratação da prestação de serviços com locação de sistemas informatizados de contabilidade, licitação, patrimônio, veículos e almoxarifado, conforme especificações no edital;20/01/2020;09/01/2020;Finalizada;Pregão;Nenhuma;Outros;33904000.0;R$16.371,63;R$16.371,63;LOTE UNICO;SISTEMAS INTEGRADOS APLICADO AO SETOR PÚBLICO - LTDA.;18.603.971/0001-91;R$14.850,00;24/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152377/licit/115604;62.01-5-00 2.03-1-00 
2020;LAVRAS DA MANGABEIRA;2019.12.19.01;CONTRATAÇÃO PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE IMPRESSORAS E COPIADORAS, PARA ATENDER AS NECESSIDADES DE DIVERSAS SECRETARIAS DO MUNICÍPIO DE LAVRAS DA MANGABEIRA-CE;20/01/2020;09/01/2020;Finalizada;Pregão;Nenhuma;Outros;33903900.0;R$83.656,00;R$83.656,00;ITEM 06 - CONTRATAÇÃO PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE IMPRESSORAS E COPIADORAS, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE AGRICULTURA E MEIO AMBIENTE: 01-BROTHER DCP 1617.;M.I.M. OLIVEIRA INFORMATICA - ME;11.546.448/0001-21;R$3.120,00;24/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152339/licit/115577;47.51-2-01 
2020;LAVRAS DA MANGABEIRA;2019.12.19.01;CONTRATAÇÃO PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE IMPRESSORAS E COPIADORAS, PARA ATENDER AS NECESSIDADES DE DIVERSAS SECRETARIAS DO MUNICÍPIO DE LAVRAS DA MANGABEIRA-CE;20/01/2020;09/01/2020;Finalizada;Pregão;Nenhuma;Outros;33903900.0;R$83.656,00;R$83.656,00;"ITEM 05 - CONTRATAÇÃO PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE IMPRESSORAS E COPIADORAS, PARA ATENDER AS NECESSIDADES DA SECRETARIA DO TRABALHO E ASSISTÊNCIA SOCIAL: 01-KYOCERA FS 6525; 01-KYOCERA FS 2040";M.I.M. OLIVEIRA INFORMATICA - ME;11.546.448/0001-21;R$10.200,00;24/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152339/licit/115577;47.51-2-01 
2020;LAVRAS DA MANGABEIRA;2019.12.19.01;CONTRATAÇÃO PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE IMPRESSORAS E COPIADORAS, PARA ATENDER AS NECESSIDADES DE DIVERSAS SECRETARIAS DO MUNICÍPIO DE LAVRAS DA MANGABEIRA-CE;20/01/2020;09/01/2020;Finalizada;Pregão;Nenhuma;Outros;33903900.0;R$83.656,00;R$83.656,00;"ITEM 04 - CONTRATAÇÃO PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE IMPRESSORAS E COPIADORAS, PARA ATENDER AS NECESSIDADES DA CONTROLADORIA GERAL DO MUNICIPIO: 01-KYOCERA FS 1124; 02-HP MPF 125/127.";M.I.M. OLIVEIRA INFORMATICA - ME;11.546.448/0001-21;R$11.880,00;24/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152339/licit/115577;47.51-2-01 
2020;LAVRAS DA MANGABEIRA;2019.12.19.01;CONTRATAÇÃO PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE IMPRESSORAS E COPIADORAS, PARA ATENDER AS NECESSIDADES DE DIVERSAS SECRETARIAS DO MUNICÍPIO DE LAVRAS DA MANGABEIRA-CE;20/01/2020;09/01/2020;Finalizada;Pregão;Nenhuma;Outros;33903900.0;R$83.656,00;R$83.656,00;"ITEM 01 - CONTRATAÇÃO PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE IMPRESSORAS E COPIADORAS, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE SAÚDE: 01-KYOCERA FS 6525; 01-KYOCERA TASKALFA 180; 01-LEXMARK E 264.";M.I.M. OLIVEIRA INFORMATICA - ME;11.546.448/0001-21;R$16.140,00;24/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152339/licit/115577;47.51-2-01 
2020;LAVRAS DA MANGABEIRA;2019.12.19.01;CONTRATAÇÃO PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE IMPRESSORAS E COPIADORAS, PARA ATENDER AS NECESSIDADES DE DIVERSAS SECRETARIAS DO MUNICÍPIO DE LAVRAS DA MANGABEIRA-CE;20/01/2020;09/01/2020;Finalizada;Pregão;Nenhuma;Outros;33903900.0;R$83.656,00;R$83.656,00;"ITEM 03 - CONTRATAÇÃO PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE IMPRESSORAS E COPIADORAS, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS: 01-KYOCERA FS 6525; 01-KYOCERA FS 1124; 01-KYOCERA TASKALFA 180;";M.I.M. OLIVEIRA INFORMATICA - ME;11.546.448/0001-21;R$16.140,00;24/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152339/licit/115577;47.51-2-01 
2020;LAVRAS DA MANGABEIRA;2019.12.19.01;CONTRATAÇÃO PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE IMPRESSORAS E COPIADORAS, PARA ATENDER AS NECESSIDADES DE DIVERSAS SECRETARIAS DO MUNICÍPIO DE LAVRAS DA MANGABEIRA-CE;20/01/2020;09/01/2020;Finalizada;Pregão;Nenhuma;Outros;33903900.0;R$83.656,00;R$83.656,00;"ITEM 02 - CONTRATAÇÃO PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA DE IMPRESSORAS E COPIADORAS, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE EDUCAÇÃO: 01-KYOCERA 6525; 01-KYOCERA KM 2035; 02- BROTHER OCP 1617.";M.I.M. OLIVEIRA INFORMATICA - ME;11.546.448/0001-21;R$18.720,00;24/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152339/licit/115577;47.51-2-01 
2020;CAUCAIA;2020.01.03.002;Registro de Preços para futuras e eventuais contratações de empresa especializada para licença do SOFTWARE (AUTOCARD) para atender as necessidades da Secretaria de Infraestrutura do Município de Caucaia/CE.;20/01/2020;08/01/2020;Finalizada;Pregão;Nenhuma;Outros;;R$0,00;R$188.318,97;1 Licenças do autocard – INCLUDING SPECIALEZED TOOLSETS PLANO DE 03 (três) ANOS. und 9;AX4B SISTEMAS DE INFORMÁTICA LTDA;22.233.581/0001-44;R$171.000,00;20/01/2020;http://www.tcm.ce.gov.br/licitacoes/index.php/licitacao/detalhes/proc/152289/licit/115542;62.01-5-00 2.03-1-00 
